Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37463193	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37463864	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37465023	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37466179	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37467336	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37468493	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37469652	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37470811	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37471968	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37473125	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37474281	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37475438	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37476597	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37477754	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37478911	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37480068	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37481227	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37482383	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37483540	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37484697	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37485856	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37487014	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37488170	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37489327	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37490486	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37491643	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37492799	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37493956	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37495115	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37496272	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37497429	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37498588	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37499744	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37500901	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37502060	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37503217	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37504374	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37505530	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37506689	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37507846	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37509003	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37510162	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37511319	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37512475	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37513634	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37514791	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37515948	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37517105	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37518262	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37519421	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37520578	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37521735	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37522894	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37524050	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37525207	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37526364	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37527523	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37528679	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37529836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37530995	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37532152	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37533309	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37534466	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37535623	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37536782	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37537938	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37539095	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37540254	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37541411	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37542568	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37543725	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37544882	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37546041	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37547198	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37548355	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37549514	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37550670	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37551829	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37552986	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37554143	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37555299	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37556457	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37557616	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37558772	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37559929	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37561089	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37562244	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37563401	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37564560	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37565716	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37566873	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37568032	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37569189	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37570348	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37571502	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37572661	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37573818	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37574975	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37576134	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37577293	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37578447	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37579606	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37580763	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37581920	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37583077	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37584236	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37585392	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37586549	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37587708	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37588865	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37590022	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37591181	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37592337	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37593494	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37594651	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37595810	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37596967	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37598124	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37599280	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37600440	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37601597	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37602753	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
