Day fraction since midnight on 11/17/2019	Fluoride Probe (volts)	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.00000873	0.11798102	41.18526316	6.50617284	8.13333333	0.08475306	1.38276923	0.08988000
0.00002032	0.11629848	41.18526316	6.50617284	8.13333333	0.08266204	1.38276923	0.08988000
0.00003189	0.11682865	41.18526316	6.50617284	8.13333333	0.08266204	1.38276923	0.08988000
0.00004346	0.11703675	41.18526316	6.50617284	8.13333333	0.08266204	1.38276923	0.08988000
0.00005505	0.11626357	41.18526316	6.50617284	8.13333333	0.08266204	1.38276923	0.08988000
0.00006661	0.11842080	41.18526316	6.50617284	8.13333333	0.08266204	1.38276923	0.08988000
0.00007818	0.11895756	41.18526316	6.50617284	8.13333333	0.07752112	1.38276923	0.08988000
0.00008975	0.11987711	41.18526316	6.50617284	8.13333333	0.07752112	1.38276923	0.08988000
0.00010132	0.12025525	41.18526316	6.50617284	8.13333333	0.07752112	1.38276923	0.08988000
0.00011291	0.11992547	41.18526316	6.50617284	8.13333333	0.07752112	1.38276923	0.08988000
0.00012448	0.12046111	41.18526316	6.50617284	8.13333333	0.07752112	1.38276923	0.08988000
0.00013605	0.11958419	41.18526316	6.50617284	8.13333333	0.07785366	1.38276923	0.08988000
0.00014762	0.11917301	41.18526316	6.50617284	8.13333333	0.07785366	1.38276923	0.08988000
0.00015919	0.11827308	41.18526316	6.50617284	8.13333333	0.07785366	1.38276923	0.08988000
0.00017078	0.11784493	41.18526316	6.50617284	8.13333333	0.07785366	1.38276923	0.08988000
0.00018235	0.11741572	41.18526316	6.50617284	8.13333333	0.07785366	1.38276923	0.08988000
0.00019391	0.11745511	41.18526316	6.50617284	8.13333333	0.09545832	1.38276923	0.08988000
0.00020551	0.11699189	41.18526316	6.50617284	8.13333333	0.09545832	1.38276923	0.08988000
0.00021707	0.11744804	41.18526316	6.50617284	8.13333333	0.09545832	1.38276923	0.08988000
0.00022864	0.11776747	41.18526316	6.50617284	8.13333333	0.09545832	1.38276923	0.08988000
0.00024021	0.11936276	41.18526316	6.50617284	8.13333333	0.09545832	1.38276923	0.08988000
0.00025180	0.12035334	41.18526316	6.50617284	8.13333333	0.10667267	1.38276923	0.08988000
0.00026337	0.11968082	41.18526316	6.50617284	8.13333333	0.10667267	1.38276923	0.08988000
0.00027494	0.11960963	41.18526316	6.50617284	8.13333333	0.10667267	1.38276923	0.08988000
0.00028651	0.11941596	41.18526316	6.50617284	8.13333333	0.10667267	1.38276923	0.08988000
0.00029808	0.11982755	41.18526316	6.50617284	8.13333333	0.10667267	1.38276923	0.08988000
0.00030967	0.11863802	41.18526316	6.50617284	8.13333333	0.09142549	1.38276923	0.08988000
0.00032124	0.11818981	41.18526316	6.50617284	8.13333333	0.09142549	1.38276923	0.08988000
0.00033281	0.11707120	41.18526316	6.50617284	8.13333333	0.09142549	1.38276923	0.08988000
0.00034438	0.11664117	41.18526316	6.50617284	8.13333333	0.09142549	1.38276923	0.08988000
0.00035597	0.11653032	41.18526316	6.50617284	8.13333333	0.09142549	1.38276923	0.08988000
0.00036754	0.11641262	41.18526316	6.50617284	8.13333333	0.08189240	1.38276923	0.08988000
0.00037911	0.11629535	41.18526316	6.50617284	8.13333333	0.08189240	1.38276923	0.08988000
0.00039070	0.11646134	41.18526316	6.50617284	8.13333333	0.08189240	1.38276923	0.08988000
0.00040227	0.11824901	41.18526316	6.50617284	8.13333333	0.08189240	1.38276923	0.08988000
0.00041383	0.11904707	41.18526316	6.50617284	8.13333333	0.08189240	1.38276923	0.08988000
0.00042540	0.11971152	41.18526316	6.50617284	8.13333333	0.07774840	1.38276923	0.08988000
0.00043697	0.11964742	41.18526316	6.50617284	8.13333333	0.07774840	1.38276923	0.08988000
0.00044854	0.11913323	41.18526316	6.50617284	8.13333333	0.07774840	1.38276923	0.08988000
0.00046013	0.11948760	41.18526316	6.50617284	8.13333333	0.07774840	1.38276923	0.08988000
0.00047172	0.11945292	41.18526316	6.50617284	8.13333333	0.07774840	1.38276923	0.08988000
